"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Parameter Value[Solvent]"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Parameter Value[NMR Probe]"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"07.HU2.5.1319.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13191"	""	"Data transformation"	""	""	""	""	""
"07.HU2.5.1319.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13192"	""	"Data transformation"	""	""	""	""	""
"07.HU2.6.1320.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13201"	""	"Data transformation"	""	""	""	""	""
"07.HU2.6.1320.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13202"	""	"Data transformation"	""	""	""	""	""
"07.HU3.1.1333.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13331"	""	"Data transformation"	""	""	""	""	""
"07.HU3.1.1333.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13332"	""	"Data transformation"	""	""	""	""	""
"07.HU3.2.1334.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13341"	""	"Data transformation"	""	""	""	""	""
"07.HU3.2.1334.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13342"	""	"Data transformation"	""	""	""	""	""
"07.HU3.3.1335.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13351"	""	"Data transformation"	""	""	""	""	""
"07.HU3.3.1335.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13352"	""	"Data transformation"	""	""	""	""	""
"07.HU3.4.1336.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13361"	""	"Data transformation"	""	""	""	""	""
"07.HU3.4.1336.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13362"	""	"Data transformation"	""	""	""	""	""
"07.HU3.5.1337.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13371"	""	"Data transformation"	""	""	""	""	""
"07.HU3.5.1337.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13372"	""	"Data transformation"	""	""	""	""	""
"07.HU3.6.1338.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13381"	""	"Data transformation"	""	""	""	""	""
"07.HU3.6.1338.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13382"	""	"Data transformation"	""	""	""	""	""
